sales1_name,clv,approval
CON_Acquisition Bundles,704.9331959,
CON_Cross-Sell Mobile,201.7447423,
CON_Acquisition Internet Only,329.3938144,
CON_Up-Sell Whop to Whoppa,63.60174433,
CON_Acquisition DTV - TV only,108.3327835,
CON_Churn mobile,222.4540206,
CON_Churn 2P 3P 4P,677.171134,
CON_Churn 1P (INT or DTV),279.6915464,
ENT_Up-sell Play to Play More,149.8925216,
ENT_Acquisition Play,88.55288639,
ENT_Acquisition Play Sports,187.0703977,
ENT_Acquisition Play More,182.4022271,
ENT_Churn,165.5384831,
BASE_Acquisition_Postpaid_North,326.5973464,
BASE_Acquisition_Postpaid_South,330.0340843,
BASE_Acquisition_Prepaid,153.6133875,
BASE_Churn_Postpaid_South,401.6336323,
BASE_Churn_Postpaid_North,358.2321838,
BASE_Prepaid to Postpaid_North,80.48978629,
BASE_Prepaid to Postpaid_South,75.82015769,
