dma1_name,chan1_name,chan2_name,sales1_name,cpp,a,b,curvegroup_name,all_name
National,Televsion,Base North,Acquisition - Postpaid - North,1,51.86144267,0.00042457,weekly,overall
National,Televsion,Base North,Prepaid to Postpaid - North,1,97.00245944,2.02E-05,weekly,overall
National,Televsion,Base North,Churn - Postpaid - North,1,78.30698831,1.07E-04,weekly,overall
National,Televsion,Base South,Prepaid to Postpaid - South,1,122.7701026,1.94316E-05,weekly,overall
National,Televsion,Base South,Churn - Postpaid - South,1,92.2858879,5.21743E-06,weekly,overall
National,Televsion,Base South,Acquisition - Postpaid - South,1,109.1148847,1.98E-05,weekly,overall
National,Televsion,Base,Acquisition - Prepaid,1,696.7357184,9.85E-05,weekly,overall
National,Outbound Calls,Base North,Prepaid to Postpaid - North,1,58.87518347,1.13E-03,weekly,overall
National,Outbound Calls,Connectivity_Upsell,Up-Sell Whop to Whoppa,1,212.7119813,2.40E-05,weekly,overall
National,Outbound Calls,Entertainment_Upsell,Up-sell Play to Play More,1,156.7896564,3.47E-05,weekly,overall
National,Outbound Calls,Base South,Prepaid to Postpaid - South,1,180.9779411,4.64E-05,weekly,overall
National,Outbound Calls,Connectivity_Acquisition,Acquisition Bundles,1,84.001597,4.94E-05,weekly,overall
National,Outbound Calls,Connectivity_Acquisition,Acquisition DTV - TV only,1,19.14852317,5.61E-04,weekly,overall
National,Outbound Calls,Connectivity_Acquisition,Acquisition Internet Only,1,23.08697236,0.00044148,weekly,overall
National,Outbound Calls,Entertainment_Acquisition,Acquisition Play Sports,1,152.4149611,1.26E-03,weekly,overall
National,Outbound Calls,Entertainment_Acquisition,Acquisition Play,1,244.7001863,1.08E-04,weekly,overall
National,Outbound Calls,Connectivity_Retention,Churn mobile,1,12.80534986,3.96E-05,weekly,overall
National,Outbound Calls,Connectivity_Retention,Churn 2P 3P 4P,1,49.10068728,8.38E-05,weekly,overall
National,Outbound Calls,Connectivity_Retention,Churn 1P (INT or DTV),1,45.93761042,7.43E-05,weekly,overall
National,Outbound Calls,Entertainment_Retention,Churn entertainment,1,203.7944563,2.20E-05,weekly,overall
National,Outbound Calls,Connectivity_Cross Sell,Cross-Sell Mobile,1,393.1191448,3.39E-05,weekly,overall
National,DoortoDoor,Connectivity,Acquisition Bundles,1,105.8420383,3.40E-04,weekly,overall
National,DoortoDoor,Connectivity,Acquisition Play,1,362.6700014,2.32E-05,weekly,overall
National,DoortoDoor,Connectivity,Acquisition Play Sports,1,67.33198078,2.64E-05,weekly,overall
National,DoortoDoor,Connectivity,Acquisition Play More,1,37.03793363,2.80E-05,weekly,overall
National,DoortoDoor,Connectivity,Cross-Sell Mobile,1,245.7194127,1.52E-04,weekly,overall
National,DoortoDoor,Connectivity,Acquisition Internet Only,1,45.51209316,0.000358097,weekly,overall
National,DoortoDoor,Connectivity,Up-Sell Whop to Whoppa,1,38.323373,3.42E-04,weekly,overall
National,DoortoDoor,Connectivity,Acquisition DTV - TV only,1,36.09910016,2.96E-04,weekly,overall
National,DoortoDoor,Connectivity,Churn 1P (INT or DTV),1,22.21427791,0.000161866,weekly,overall
National,DoortoDoor,Connectivity,Up-sell Play to Play More,1,33.26323481,0.000361426,weekly,overall
National,Promotion,Entertainment,Acquisition Play,1,54137.09098,8.98739E-08,weekly,overall
National,Promotion,Connectivity_Bundle,Acquisition Bundles,1,21369.84085,3.28212E-08,weekly,overall
National,Promotion,Connectivity_INT,Acquisition Internet Only,1,1261.172821,1.83055E-07,weekly,overall
National,Promotion,Connectivity_Mobile,Cross-Sell Mobile,1,65529.96711,4.22402E-08,weekly,overall
National,Search,Connectivity_Unbranded,Acquisition Bundles,1,144.7539454,1.47E-03,weekly,overall
National,Search,Connectivity_Unbranded,Cross-Sell Mobile,1,62.08031491,0.004492136,weekly,overall
National,Search,Connectivity_Unbranded,Acquisition Internet Only,1,26.26802255,0.000559666,weekly,overall
National,Search,Connectivity_Unbranded,Up-Sell Whop to Whoppa,1,52.36986729,2.06E-04,weekly,overall
National,Search,Connectivity_Unbranded,Churn mobile,1,8.082669183,2.64E-03,weekly,overall
National,Search,Connectivity_Unbranded,Churn 2P 3P 4P,1,21.0925448,3.15E-03,weekly,overall
National,Search,Entertainment_Unbranded,Acquisition Play Sports,1,79.11279209,2.01E-04,weekly,overall
National,Search,Entertainment_Unbranded,Acquisition Play More,1,8.65471778,3.16E-03,weekly,overall
National,Search,Entertainment_Unbranded,Churn entertainment,1,189.9242524,2.58E-04,weekly,overall
National,Search,Entertainment_Unbranded,Acquisition Play,1,327.4737268,3.93E-04,weekly,overall
National,Search,Entertainment_Unbranded,Up-sell Play to Play More,1,16.41803628,3.44E-03,weekly,overall
National,Facebook,Entertainment,Acquisition Play Sports,1,126.6320392,2.51436E-05,weekly,overall
National,Facebook,Entertainment,Acquisition Play More,1,16.08922985,1.18E-03,weekly,overall
National,Facebook,Entertainment,Churn entertainment,1,546.0224162,1.89557E-05,weekly,overall
National,Facebook,Entertainment,Acquisition Play,1,40.32884465,0.000279033,weekly,overall
National,Facebook,Connectivity,Acquisition Bundles,1,31.594994,0.000137052,weekly,overall
National,Facebook,Connectivity,Cross-Sell Mobile,1,46.51605121,0.001038197,weekly,overall
National,Facebook,Connectivity,Acquisition Internet Only,1,19.10241504,9.37E-05,weekly,overall
National,Facebook,Connectivity,Up-Sell Whop to Whoppa,1,42.04444777,5.07E-05,weekly,overall
National,Facebook,Connectivity,Acquisition DTV - TV only,1,1.60031384,1.06E-03,weekly,overall
National,Facebook,Connectivity,Churn mobile,1,7.073672741,5.97E-04,weekly,overall
National,Television,Entertainment,Churn entertainment,1,153.1593897,2.48E-05,weekly,overall
National,Television,Entertainment,Acquisition Play,1,822.3401944,5.08E-06,weekly,overall
National,Television,Entertainment,Acquisition Play Sports,1,126.8140073,1.41E-05,weekly,overall
National,Television,Entertainment,Acquisition Play More,1,175.5923566,4.06E-06,weekly,overall
National,Television,Entertainment,Up-sell Play to Play More,1,31.16303743,9.66E-05,weekly,overall
National,Television,Connectivity,Acquisition Bundles,1,291.9194399,1.12E-05,weekly,overall
National,Television,Connectivity,Cross-Sell Mobile,1,178.7290408,2.92E-05,weekly,overall
National,Television,Connectivity,Acquisition Internet Only,1,69.01493311,1.94515E-05,weekly,overall
National,Television,Connectivity,Up-Sell Whop to Whoppa,1,22.95603673,4.06E-05,weekly,overall
National,Television,Connectivity,Acquisition DTV - TV only,1,86.73768026,4.52E-05,weekly,overall
National,Television,Connectivity,Churn mobile,1,31.17788291,2.49261E-05,weekly,overall
National,Television,Connectivity,Churn 2P 3P 4P,1,41.26216676,2.72235E-05,weekly,overall
National,Television,Connectivity,Churn 1P (INT or DTV),1,18.43709849,2.61E-05,weekly,overall
National,Email,Base North,Prepaid to Postpaid - North,1,31.94325629,1.70E-02,weekly,overall
National,Email,Connectivity_Upsell,Up-Sell Whop to Whoppa,1,61.28236455,6.57E-05,weekly,overall
National,Email,Base South,Prepaid to Postpaid - South,1,76.59428915,1.14E-02,weekly,overall
National,Email,Connectivity_Acquisition,Acquisition Bundles,1,9.280620054,8.06173E-05,weekly,overall
National,Email,Connectivity_Acquisition,Acquisition DTV - TV only,1,17.16575003,0.00170864,weekly,overall
National,Email,Connectivity_Acquisition,Churn mobile,1,9.02324608,4.25E-04,weekly,overall
National,Email,Connectivity_Acquisition,Acquisition Internet Only,1,41.62377961,6.21E-05,weekly,overall
National,Email,Entertainment_Acquisition,Acquisition Play,1,222.626041,1.01E-03,weekly,overall
National,Email,Entertainment_Acquisition,Acquisition Play Sports,1,573.7120748,0.000102279,weekly,overall
National,Email,Entertainment_Acquisition,Acquisition Play More,1,102.6129741,0.000217763,weekly,overall
National,Email,Connectivity_Cross Sell,Cross-Sell Mobile,1,158.5870329,0.000325112,weekly,overall
National,Direct Marketing,Connectivity_Upsell,Up-Sell Whop to Whoppa,1,128.8768406,8.46259E-06,weekly,overall
National,Direct Marketing,Entertainment_Upsell,Up-sell Play to Play More,1,556.8372564,0.000313602,weekly,overall
