week_id,sales1_name,factor
1,Acquisition Bundles,-1637.803676
2,Acquisition Bundles,-1637.803676
3,Acquisition Bundles,-1637.803676
4,Acquisition Bundles,-1637.803676
5,Acquisition Bundles,-1637.803676
6,Acquisition Bundles,-1637.646433
7,Acquisition Bundles,-6216.802278
8,Acquisition Bundles,-6217.287921
9,Acquisition Bundles,0
10,Acquisition Bundles,0
11,Acquisition Bundles,0
12,Acquisition Bundles,0
13,Acquisition Bundles,-997.09686
14,Acquisition Bundles,-997.09686
15,Acquisition Bundles,-4607.344121
16,Acquisition Bundles,-4607.344121
17,Acquisition Bundles,3283.243174
18,Acquisition Bundles,3283.335991
19,Acquisition Bundles,-877.168225
20,Acquisition Bundles,-877.145182
21,Acquisition Bundles,0
22,Acquisition Bundles,0
23,Acquisition Bundles,-409.463288
24,Acquisition Bundles,-409.451713
25,Acquisition Bundles,3799.924063
26,Acquisition Bundles,3800.031483
27,Acquisition Bundles,0
28,Acquisition Bundles,0
29,Acquisition Bundles,1298.402211
30,Acquisition Bundles,1298.368102
31,Acquisition Bundles,654.456688
32,Acquisition Bundles,654.38045
33,Acquisition Bundles,2409.564956
34,Acquisition Bundles,2409.564956
35,Acquisition Bundles,3293.224373
36,Acquisition Bundles,3292.967133
37,Acquisition Bundles,413.968056
38,Acquisition Bundles,413.957181
39,Acquisition Bundles,-6491.86311
40,Acquisition Bundles,-6491.850134
41,Acquisition Bundles,-4286.87219
42,Acquisition Bundles,-4286.984808
43,Acquisition Bundles,-3178.818181
44,Acquisition Bundles,-3178.818181
45,Acquisition Bundles,-4484.279602
46,Acquisition Bundles,-4484.397405
47,Acquisition Bundles,516.595262
48,Acquisition Bundles,516.595262
49,Acquisition Bundles,1213.375017
50,Acquisition Bundles,1213.377442
51,Acquisition Bundles,18900.51868
52,Acquisition Bundles,18900.51868
1,Cross-Sell Mobile,1352.683107
2,Cross-Sell Mobile,1352.683107
3,Cross-Sell Mobile,1352.683107
4,Cross-Sell Mobile,1352.683107
5,Cross-Sell Mobile,1352.683107
6,Cross-Sell Mobile,1352.603185
7,Cross-Sell Mobile,0
8,Cross-Sell Mobile,0
9,Cross-Sell Mobile,6553.638057
10,Cross-Sell Mobile,6553.337911
11,Cross-Sell Mobile,0
12,Cross-Sell Mobile,0
13,Cross-Sell Mobile,4185.729154
14,Cross-Sell Mobile,4185.729154
15,Cross-Sell Mobile,4677.933278
16,Cross-Sell Mobile,4678.412355
17,Cross-Sell Mobile,2145.475694
18,Cross-Sell Mobile,2145.604958
19,Cross-Sell Mobile,0
20,Cross-Sell Mobile,0
21,Cross-Sell Mobile,1157.229564
22,Cross-Sell Mobile,1157.095694
23,Cross-Sell Mobile,0
24,Cross-Sell Mobile,0
25,Cross-Sell Mobile,2803.436257
26,Cross-Sell Mobile,2803.177838
27,Cross-Sell Mobile,0
28,Cross-Sell Mobile,0
29,Cross-Sell Mobile,0
30,Cross-Sell Mobile,0
31,Cross-Sell Mobile,80.060535
32,Cross-Sell Mobile,80.039903
33,Cross-Sell Mobile,0
34,Cross-Sell Mobile,0
35,Cross-Sell Mobile,609.973784
36,Cross-Sell Mobile,609.973784
37,Cross-Sell Mobile,0
38,Cross-Sell Mobile,0
39,Cross-Sell Mobile,0
40,Cross-Sell Mobile,0
41,Cross-Sell Mobile,1382.173403
42,Cross-Sell Mobile,1382.031858
43,Cross-Sell Mobile,3042.260063
44,Cross-Sell Mobile,3042.258291
45,Cross-Sell Mobile,0
46,Cross-Sell Mobile,0
47,Cross-Sell Mobile,909.885654
48,Cross-Sell Mobile,909.885654
49,Cross-Sell Mobile,3233.161141
50,Cross-Sell Mobile,3233.011184
51,Cross-Sell Mobile,4614.046071
52,Cross-Sell Mobile,4614.515938
1,Acquisition Internet Only,1374.775957
2,Acquisition Internet Only,1374.775957
3,Acquisition Internet Only,1374.775957
4,Acquisition Internet Only,1374.775957
5,Acquisition Internet Only,1374.775957
6,Acquisition Internet Only,1374.427575
7,Acquisition Internet Only,1019.201702
8,Acquisition Internet Only,1018.830175
9,Acquisition Internet Only,1167.976333
10,Acquisition Internet Only,1167.743643
11,Acquisition Internet Only,-695.562257
12,Acquisition Internet Only,-694.299627
13,Acquisition Internet Only,0
14,Acquisition Internet Only,0
15,Acquisition Internet Only,0
16,Acquisition Internet Only,0
17,Acquisition Internet Only,1141.199628
18,Acquisition Internet Only,1141.417174
19,Acquisition Internet Only,0
20,Acquisition Internet Only,0
21,Acquisition Internet Only,-2279.108736
22,Acquisition Internet Only,-2282.84078
23,Acquisition Internet Only,0
24,Acquisition Internet Only,0
25,Acquisition Internet Only,0
26,Acquisition Internet Only,0
27,Acquisition Internet Only,0
28,Acquisition Internet Only,0
29,Acquisition Internet Only,0
30,Acquisition Internet Only,0
31,Acquisition Internet Only,496.021364
32,Acquisition Internet Only,496.135583
33,Acquisition Internet Only,0
34,Acquisition Internet Only,0
35,Acquisition Internet Only,0
36,Acquisition Internet Only,0
37,Acquisition Internet Only,-1619.092335
38,Acquisition Internet Only,-1621.056656
39,Acquisition Internet Only,0
40,Acquisition Internet Only,0
41,Acquisition Internet Only,0
42,Acquisition Internet Only,0
43,Acquisition Internet Only,1495.303385
44,Acquisition Internet Only,1497.382176
45,Acquisition Internet Only,0
46,Acquisition Internet Only,0
47,Acquisition Internet Only,0
48,Acquisition Internet Only,0
