"bdgt_id","dma1_name","chan2_name","chan1_name","client_id","chan2_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"166_57_1","National","Double Click Banner","Online Display",30,166,57,1,NULL,NULL,NULL
"167_227_1","National","Acquisition","Outbound Calls",30,167,227,1,NULL,NULL,NULL
"168_138_1","National","Connectivity","Television",30,168,138,1,NULL,NULL,NULL
"168_140_1","National","Connectivity","Outdoor",30,168,140,1,NULL,NULL,NULL
"168_228_1","National","Connectivity","DoortoDoor",30,168,228,1,NULL,NULL,NULL
"168_229_1","National","Connectivity","Dailies",30,168,229,1,NULL,NULL,NULL
"168_230_1","National","Connectivity","Facebook",30,168,230,1,NULL,NULL,NULL
"168_30_1","National","Connectivity","Radio",30,168,30,1,NULL,NULL,NULL
"169_171_1","National","Unbranded","Search",30,169,171,1,NULL,NULL,NULL
"170_227_1","National","Cross Sell","Outbound Calls",30,170,227,1,NULL,NULL,NULL
"170_231_1","National","Cross Sell","Direct Marketing",30,170,231,1,NULL,NULL,NULL
"171_57_1","National","Double Click Video","Online Display",30,171,57,1,NULL,NULL,NULL
"172_227_1","National","Upsell","Outbound Calls",30,172,227,1,NULL,NULL,NULL
"172_231_1","National","Upsell","Direct Marketing",30,172,231,1,NULL,NULL,NULL
