"chan2_id","chan1_id","dma1_id","chan2_name","chan1_name","dma1_name","bdgt_id","cps"
253,268,1,"BASE_Acquisition_Postpaid_North","Base","National","253_268_1",""
68,267,1,"National","Promotion","National","68_267_1",""
238,140,1,"North","Outdoor","National","238_140_1",""
238,173,1,"North","Print","National","238_173_1",""
238,30,1,"North","Radio","National","238_30_1",""
238,138,1,"North","Television","National","238_138_1",""
238,287,1,"North","Unbranded Search","National","238_287_1",""
254,268,1,"BASE_Acquisition_Postpaid_South","Base","National","254_268_1",""
237,140,1,"South","Outdoor","National","237_140_1",""
237,173,1,"South","Print","National","237_173_1",""
237,30,1,"South","Radio","National","237_30_1",""
237,138,1,"South","Television","National","237_138_1",""
237,287,1,"South","Unbranded Search","National","237_287_1",""
255,268,1,"BASE_Acquisition_Prepaid","Base","National","255_268_1",""
257,268,1,"BASE_Churn_Postpaid_North","Base","National","257_268_1",""
238,285,1,"North","SMS","National","238_285_1",""
256,268,1,"BASE_Churn_Postpaid_South","Base","National","256_268_1",""
258,268,1,"BASE_Prepaid to Postpaid_North","Base","National","258_268_1",""
238,266,1,"North","Email","National","238_266_1",""
238,227,1,"North","Outbound Calls","National","238_227_1",""
259,268,1,"BASE_Prepaid to Postpaid_South","Base","National","259_268_1",""
237,266,1,"South","Email","National","237_266_1",""
237,227,1,"South","Outbound Calls","National","237_227_1",""
237,285,1,"South","SMS","National","237_285_1",""
240,268,1,"CON_Acquisition Bundles","Base","National","240_268_1",""
168,229,1,"Connectivity","Dailies","National","168_229_1",""
168,228,1,"Connectivity","DoortoDoor","National","168_228_1",""
168,230,1,"Connectivity","Facebook","National","168_230_1",""
168,140,1,"Connectivity","Outdoor","National","168_140_1",""
168,30,1,"Connectivity","Radio","National","168_30_1",""
168,138,1,"Connectivity","Television","National","168_138_1",""
178,231,1,"Connectivity_Acquisition","Direct Marketing","National","178_231_1",""
178,266,1,"Connectivity_Acquisition","Email","National","178_266_1",""
178,227,1,"Connectivity_Acquisition","Outbound Calls","National","178_227_1",""
176,57,1,"Connectivity_Banner","Online Display","National","176_57_1",""
183,267,1,"Connectivity_Bundle","Promotion","National","183_267_1",""
185,171,1,"Connectivity_Unbranded","Search","National","185_171_1",""
244,268,1,"CON_Acquisition DTV - TV only","Base","National","244_268_1",""
242,268,1,"CON_Acquisition Internet Only","Base","National","242_268_1",""
184,267,1,"Connectivity_INT","Promotion","National","184_267_1",""
177,57,1,"Connectivity_Video","Online Display","National","177_57_1",""
247,268,1,"CON_Churn 1P (INT or DTV)","Base","National","247_268_1",""
181,231,1,"Connectivity_Retention","Direct Marketing","National","181_231_1",""
181,227,1,"Connectivity_Retention","Outbound Calls","National","181_227_1",""
246,268,1,"CON_Churn 2P 3P 4P","Base","National","246_268_1",""
245,268,1,"CON_Churn mobile","Base","National","245_268_1",""
241,268,1,"CON_Cross-Sell Mobile","Base","National","241_268_1",""
179,231,1,"Connectivity_Cross Sell","Direct Marketing","National","179_231_1",""
179,266,1,"Connectivity_Cross Sell","Email","National","179_266_1",""
179,227,1,"Connectivity_Cross Sell","Outbound Calls","National","179_227_1",""
182,267,1,"Connectivity_Mobile","Promotion","National","182_267_1",""
243,268,1,"CON_Up-Sell Whop to Whoppa","Base","National","243_268_1",""
180,231,1,"Connectivity_Upsell","Direct Marketing","National","180_231_1",""
180,266,1,"Connectivity_Upsell","Email","National","180_266_1",""
180,227,1,"Connectivity_Upsell","Outbound Calls","National","180_227_1",""
250,268,1,"ENT_Acquisition Play","Base","National","250_268_1",""
209,230,1,"Entertainment","Facebook","National","209_230_1",""
209,267,1,"Entertainment","Promotion","National","209_267_1",""
209,30,1,"Entertainment","Radio","National","209_30_1",""
209,138,1,"Entertainment","Television","National","209_138_1",""
210,231,1,"Entertainment_Acquisition","Direct Marketing","National","210_231_1",""
210,266,1,"Entertainment_Acquisition","Email","National","210_266_1",""
210,227,1,"Entertainment_Acquisition","Outbound Calls","National","210_227_1",""
213,171,1,"Entertainment_Unbranded","Search","National","213_171_1",""
207,57,1,"Entertainment_Video","Online Display","National","207_57_1",""
251,268,1,"ENT_Acquisition Play More","Base","National","251_268_1",""
249,268,1,"ENT_Acquisition Play Sports","Base","National","249_268_1",""
248,268,1,"ENT_Churn","Base","National","248_268_1",""
211,231,1,"Entertainment_Retention","Direct Marketing","National","211_231_1",""
211,227,1,"Entertainment_Retention","Outbound Calls","National","211_227_1",""
252,268,1,"ENT_Up-sell Play to Play More","Base","National","252_268_1",""
208,57,1,"Entertainment_Banner","Online Display","National","208_57_1",""
212,231,1,"Entertainment_Upsell","Direct Marketing","National","212_231_1",""
212,227,1,"Entertainment_Upsell","Outbound Calls","National","212_227_1",""
