sales1_name,chan1_name,chan2_name,all_name,hl,hrf,max,cps,wks,dma1_name,spend,decomp
Acquisition Bundles,Online Display,Connectivity_Banner,overall,0.77,0.9,92295.26001,1,1,National,42312.49338,45.65819934
Acquisition Bundles,Outbound Calls,Connectivity_Acquisition,overall,1.39,0.2,68250.00001,1,1,National,24940.65,59.50374082
Acquisition Bundles,Outdoor,Connectivity,overall,2.31,0.6,202344.6202,1,1,National,71955.11923,177.005909
Acquisition Bundles,Radio,Connectivity,overall,0.77,0.6,140106.7102,1,1,National,55005.36538,85.39782689
Acquisition Bundles,DoortoDoor,Connectivity,overall,0.77,0.8,58935.99363,1,1,National,50716.16758,105.8420349
Acquisition Bundles,Promotion,Connectivity_Bundle,overall,0.01,0.001,304086.4837,1,1,National,155654.0172,108.8947207
Acquisition Bundles,Dailies,Connectivity,overall,3.47,0.8,222567.6401,1,1,National,78890.19231,36.96372077
Acquisition Bundles,Search,Connectivity_Unbranded,overall,1.16,0.3,3456.83,1,1,National,2072.980769,137.9095432
Acquisition Bundles,Facebook,Connectivity,overall,0.77,0.25,27102.71001,1,1,National,7947.878276,20.9644989
Acquisition Bundles,Television,Connectivity,overall,6.93,0.2,372506.947,1,1,National,113157.5054,209.9871517
Acquisition Bundles,Email,Connectivity_Acquisition,overall,3.47,0.1,22951.64,1,1,National,4773.829999,2.964689248
Acquisition Bundles,Direct Marketing,Connectivity_Acquisition,overall,6.93,0.5,22887,1,1,National,22887,69.4631199
Cross-Sell Mobile,Television,Connectivity,overall,5.33,0.45,372506.947,1,1,National,113157.5054,172.1843381
Cross-Sell Mobile,Outbound Calls,Connectivity_Cross Sell,overall,1.73,0.3,162324.75,1,1,National,40998.20455,295.382683
Cross-Sell Mobile,DoortoDoor,Connectivity,overall,0.87,0.5,58935.99363,1,1,National,50716.16758,245.6065943
Cross-Sell Mobile,Outdoor,Connectivity,overall,0.99,0.4,202344.6202,1,1,National,71955.11923,147.4604518
Cross-Sell Mobile,Direct Marketing,Connectivity_Cross Sell,overall,3.47,0.5,697061.9499,1,1,National,226788.1182,1043.899307
Cross-Sell Mobile,Radio,Connectivity,overall,1.16,0.2,140106.7102,1,1,National,55005.36538,81.16879118
Cross-Sell Mobile,Dailies,Connectivity,overall,1.73,0.8,222567.6401,1,1,National,78890.19231,117.5227548
Cross-Sell Mobile,Promotion,Connectivity_Mobile,overall,0.01,0.001,233934.1026,1,1,National,73834.32207,204.05514
Cross-Sell Mobile,Search,Connectivity_Unbranded,overall,0.77,0.7,3456.83,1,1,National,2072.980769,62.0747076
Cross-Sell Mobile,Online Display,Connectivity_Banner,overall,0.77,0.2,92295.26001,1,1,National,42312.49338,63.36856382
Cross-Sell Mobile,Facebook,Connectivity,overall,3.47,0.8,27102.71001,1,1,National,7947.878276,46.50391625
Cross-Sell Mobile,Email,Connectivity_Cross Sell,overall,2.31,0.3,18136.66,1,1,National,7049.222856,142.5562129
Acquisition Internet Only,Outbound Calls,Connectivity_Acquisition,overall,0.77,0.91,68250.00001,1,1,National,24940.65,23.0865909
Acquisition Internet Only,Email,Connectivity_Acquisition,overall,0.87,0.1,22951.64,1,1,National,4773.829999,10.67766596
Acquisition Internet Only,Search,Connectivity_Unbranded,overall,5.33,0.1,3456.83,1,1,National,2072.980769,18.03482222
Acquisition Internet Only,Online Display,Connectivity_Video,overall,6.93,0.9,50010.39999,1,1,National,40675.35851,108.9860117
Acquisition Internet Only,Facebook,Connectivity,overall,1.16,0.16,27102.71001,1,1,National,7947.878276,10.03391957
Acquisition Internet Only,Promotion,Connectivity_INT,overall,0.01,0.001,54641.79457,1,1,National,53169.93311,12.2154677
