"bdgt_id","dma1_id.x","chan1_id.x","sales1_id","chan2_id.x","a","b","npv","sp","npv_p","dma1_name","chan1_name","sales1_name","chan2_name","dim","dma1_id.y","chan1_id.y","chan2_id.y","cpp"
"1_1_6",1,1,1,6,24.25171304,0.00192257560234689,24.25171304,25832.89068,24.2513296866335,"National","Online Display","Acquisition Bundles","Connectivity_Banner","National_Online Display_Acquisition Bundles_Connectivity_Banner",1,1,6,0.931836123
"1_1_6",1,1,2,6,33.8159177120921,0.000193746033567395,33.65871294,25832.89068,33.7944194115672,"National","Online Display","Cross-Sell Mobile","Connectivity_Banner","National_Online Display_Cross-Sell Mobile_Connectivity_Banner",1,1,6,0.931836123
"1_1_6",1,1,4,6,8.54004270600071,0.000100408108229462,8.012119602,25832.89068,8.12210591580128,"National","Online Display","Up-Sell Whop to Whoppa","Connectivity_Banner","National_Online Display_Up-Sell Whop to Whoppa_Connectivity_Banner",1,1,6,0.931836123
"1_1_6",1,1,5,6,7.116828811,0.00183416672064257,7.116828811,25832.89068,7.12242749450453,"National","Online Display","Acquisition DTV - TV only","Connectivity_Banner","National_Online Display_Acquisition DTV - TV only_Connectivity_Banner",1,1,6,0.931836123
"1_1_7",1,1,3,7,18.17198342,0.00446696514555558,18.17198342,6850.586696,18.1944072234108,"National","Online Display","Acquisition Internet Only","Connectivity_Video","National_Online Display_Acquisition Internet Only_Connectivity_Video",1,1,7,0.617143051
"1_1_7",1,1,6,7,12.4791064321323,0.000493986212188682,12.42725799,6850.586696,12.4656463173676,"National","Online Display","Churn mobile","Connectivity_Video","National_Online Display_Churn mobile_Connectivity_Video",1,1,7,0.617143051
"1_1_7",1,1,7,7,34.4528873297316,7.17381957124284e-05,18.91526862,6850.586696,19.0409859651824,"National","Online Display","Churn 2P 3P 4P","Connectivity_Video","National_Online Display_Churn 2P 3P 4P_Connectivity_Video",1,1,7,0.617143051
"1_1_7",1,1,8,7,12.2928200177004,0.000493359188069005,12.24138883,6850.586696,12.291185891538,"National","Online Display","Churn 1P (INT or DTV)","Connectivity_Video","National_Online Display_Churn 1P (INT or DTV)_Connectivity_Video",1,1,7,0.617143051
"1_10_1",1,10,1,1,136.535957578774,0.0333809940885193,136.5358564,84570.33684,136.506269561379,"National","Television","Acquisition Bundles","Connectivity","National_Television_Acquisition Bundles_Connectivity",1,10,1,200
"1_10_1",1,10,2,1,111.9560691,0.0851385862998769,111.9560691,84570.33684,111.968370461314,"National","Television","Cross-Sell Mobile","Connectivity","National_Television_Cross-Sell Mobile_Connectivity",1,10,1,200
"1_10_1",1,10,3,1,45.4118779627101,0.0556745069541597,45.41187796,84570.33684,45.3789325479569,"National","Television","Acquisition Internet Only","Connectivity","National_Television_Acquisition Internet Only_Connectivity",1,10,1,200
"1_10_1",1,10,4,1,14.77593518,0.106032116720732,14.77593518,84570.33684,14.7843121945026,"National","Television","Up-Sell Whop to Whoppa","Connectivity","National_Television_Up-Sell Whop to Whoppa_Connectivity",1,10,1,200
